machine_id,line,cycle,timestamp,op_setting_1,op_setting_2,op_setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL,shift,is_stop,stop_duration_min,cycles_since_maintenance,vibration_rms,vibration_axial,shaft_runout_um,operator_micro_stop
CTL-04,Balancing,1,2026-02-05 15:03:21.836306,-0.0087,0.0003,60,496.303,651.708,1912.152436298574,1259.3007022832858,14.624,21.82,549.7426972952901,1908.39,8796.741,1.124,58.331,551.446,2654.719,7418.396,8.041,0.036,432.144,2488.669,113.437,46.421,26.974,120,Night,0,0,1,,,,
CTL-04,Balancing,2,2026-02-05 19:03:21.836374,-0.0087,0.0,60,573.105,716.319,1530.607939425107,1429.819549752354,15.615,22.298,581.8846092284583,2354.388,6576.053,1.388,47.983,528.285,2913.735,8428.887,7.742,0.032,395.354,2654.511,94.033,35.647,22.155,120,Day,0,0,2,,,,
CTL-04,Balancing,3,2026-02-05 23:03:21.836396,0.0,0.0,100,428.984,614.552,1835.5084834199736,1299.1785674132127,12.636,20.469,565.9572693318314,2209.942,9111.042,1.333,47.478,516.998,2809.283,8282.362,7.754,0.032,389.648,2405.061,110.134,44.016,20.752,120,Day,0,0,3,,,,
CTL-04,Balancing,4,2026-02-06 03:03:21.836414,0.0218,0.0003,60,608.503,638.517,1575.9935083582834,1259.330749406849,15.712,18.538,584.9319282633772,2782.454,8761.566,1.441,47.859,449.036,2416.695,7987.775,9.174,0.029,411.557,2135.902,104.295,38.902,23.121,120,Evening,0,0,4,,,,
CTL-04,Balancing,5,2026-02-06 07:03:21.836431,0.0,0.0003,80,520.282,623.889,1607.1246625401288,1372.1154723043862,13.197,18.809,527.5803722202518,2312.368,6328.132,1.303,57.928,557.652,2347.162,7475.057,6.99,0.033,408.676,2093.089,109.633,42.068,21.848,119,Evening,0,0,5,,,,
CTL-04,Balancing,6,2026-02-06 11:03:21.836448,0.0,0.0,100,503.529,658.737,1673.8660944382925,1248.9058974042468,15.449,21.738,616.1475775029155,2570.234,9098.528,1.419,40.304,502.139,2155.789,7686.574,7.942,0.026,429.349,2567.315,93.93,29.825,22.237,119,Night,0,0,6,,,,
CTL-04,Balancing,7,2026-02-06 15:03:21.836465,0.0218,-0.0003,100,516.148,729.888,1493.447666088137,1538.9917004293366,13.882,22.839,598.5484388819845,2526.246,8180.363,1.253,50.257,439.237,2576.679,7151.666,7.281,0.028,365.146,2431.419,102.672,39.083,21.118,119,Night,0,0,7,,,,
CTL-04,Balancing,8,2026-02-06 19:03:21.836481,0.0,0.0,80,581.372,646.83,1729.9249167376768,1083.2299103632934,15.402,20.372,596.3600110681595,2814.66,7989.431,1.412,44.627,424.035,2609.494,9619.35,10.197,0.031,335.38,2338.482,98.908,43.065,23.363,119,Day,0,0,8,,,,
CTL-04,Balancing,9,2026-02-06 23:03:21.836498,0.0,0.0003,80,411.008,683.2,1597.50820482971,1529.124251242049,14.983,23.099,555.5712732782303,2455.828,8212.598,1.346,46.591,547.218,2105.734,9277.328,8.629,0.032,392.186,2532.053,77.548,38.393,21.563,118,Day,0,0,9,,,,
CTL-04,Balancing,10,2026-02-07 03:03:21.836514,0.0005,-0.0003,100,500.001,707.634,1331.3518121655331,1503.9717189559558,15.294,24.377,439.0752251843728,2528.878,9274.806,1.293,54.325,411.692,2417.987,8970.706,7.051,0.032,404.756,1879.386,110.969,35.349,27.117,118,Evening,0,0,10,,,,
CTL-04,Balancing,11,2026-02-07 07:03:21.836531,-0.0087,0.0003,100,548.446,661.945,1744.1758368829119,1525.580324959634,11.756,17.926,547.484212502745,2131.555,10547.549,1.171,47.907,552.076,2971.8,9073.987,7.863,0.032,419.374,2536.524,90.195,46.695,20.553,118,Evening,0,0,11,,,,
CTL-04,Balancing,12,2026-02-07 11:03:21.836548,0.0218,0.0003,60,553.95,585.981,1645.1658197399192,1374.3911546500428,12.716,16.262,602.9868038011149,2254.525,9172.078,1.534,50.431,370.478,2095.627,6640.083,7.718,0.029,492.151,2628.354,103.564,40.533,24.533,118,Night,0,0,12,,,,
CTL-04,Balancing,13,2026-02-07 15:03:21.836564,0.0218,-0.0003,100,427.782,552.102,1657.4891575016081,1404.8479530172506,15.062,25.079,515.5423772410414,2299.84,9269.45,1.079,40.477,592.767,2317.844,7739.577,8.623,0.025,379.974,2250.787,103.674,30.619,21.544,118,Night,0,0,13,,,,
CTL-04,Balancing,14,2026-02-07 19:03:21.836580,0.0218,0.0003,60,494.783,611.521,1750.254487968014,1291.9928777303671,19.117,23.224,527.6996768060405,2532.464,9703.455,1.26,52.937,470.76,2528.113,8053.218,8.663,0.031,392.709,2860.004,94.149,35.745,23.213,117,Day,0,0,14,,,,
CTL-04,Balancing,15,2026-02-07 23:03:21.836596,0.0005,-0.0003,80,586.265,645.132,1574.116694094859,1325.6926103743858,13.909,23.921,551.7362854390983,2448.903,8414.736,1.401,53.276,473.272,2172.629,7451.375,9.291,0.027,378.513,2152.908,116.918,36.747,27.315,117,Day,0,0,15,,,,
CTL-04,Balancing,16,2026-02-08 03:03:21.836612,0.0,0.0,80,517.294,610.965,1712.7100264256917,1396.5680004377332,16.682,21.142,528.2520621693619,2279.264,10170.459,1.333,43.969,446.775,2438.548,7375.075,6.931,0.033,343.689,1961.265,98.625,37.647,21.375,117,Evening,0,0,16,,,,
CTL-04,Balancing,17,2026-02-08 07:03:21.836631,0.0218,0.0003,100,530.027,623.616,1932.7588292359303,1370.7081458938103,12.76,22.259,575.3723686670204,2308.096,7541.456,1.501,41.477,567.754,2682.511,7886.328,9.16,0.033,349.971,2739.286,103.293,30.409,23.884,117,Evening,0,0,17,,,,
CTL-04,Balancing,18,2026-02-08 11:03:21.836648,0.0005,0.0,80,489.679,671.337,1480.9777209153633,1313.8946102234593,13.106,22.096,582.0973074199982,2387.434,8780.206,1.313,52.487,467.406,2068.927,7161.381,7.039,0.027,436.735,1982.162,97.488,41.397,23.448,116,Night,0,0,18,,,,
CTL-04,Balancing,19,2026-02-08 15:03:21.836664,0.0005,-0.0003,60,563.923,605.394,1507.1987521331462,1346.7892766376924,15.429,27.51,554.8635194050221,2331.622,8174.938,1.526,45.634,489.427,2337.963,9621.909,7.947,0.03,293.368,2622.092,97.137,42.35,24.905,116,Night,0,0,19,,,,
CTL-04,Balancing,20,2026-02-08 19:03:21.836680,0.0,0.0,100,526.909,613.767,1596.0949698866632,1216.4695540922744,14.949,22.806,558.7488305644906,2396.719,8497.909,1.279,42.263,493.201,2881.198,8210.809,8.828,0.03,394.572,2420.097,97.59,41.113,21.744,116,Day,0,0,20,,,,
CTL-04,Balancing,21,2026-02-08 23:03:21.836695,0.0218,0.0003,100,441.739,655.323,1763.3269814170217,1314.136711786225,15.767,23.063,641.950734805376,2833.167,9571.021,1.284,39.797,572.602,2658.284,7929.048,8.716,0.027,368.548,2072.378,102.69,37.259,26.347,116,Day,0,0,21,,,,
CTL-04,Balancing,22,2026-02-09 03:03:21.836711,-0.0087,0.0003,100,530.846,665.373,1586.4572192305773,1626.6357810576442,16.743,21.239,570.3148727583166,2725.965,7982.398,1.339,45.808,598.478,2514.817,6724.29,8.069,0.034,426.966,2139.056,90.213,39.113,23.293,116,Evening,0,0,22,,,,
CTL-04,Balancing,23,2026-02-09 07:03:21.836727,0.0,0.0003,60,505.355,616.763,1488.8400671505813,1717.6171802713757,14.085,20.186,582.2073630388755,2363.901,8212.554,1.267,47.185,544.107,2462.859,7312.144,8.932,0.033,349.826,2202.523,98.245,39.662,24.023,115,Evening,0,0,23,,,,
CTL-04,Balancing,24,2026-02-09 11:03:21.836743,0.0005,0.0003,100,516.454,550.68,1744.1446409822233,1262.2238002083918,16.595,24.133,492.7796373335342,2472.274,10277.445,1.377,39.411,519.705,2587.211,9506.66,8.305,0.025,477.775,2358.757,114.445,37.808,24.708,115,Night,0,0,24,,,,
CTL-04,Balancing,25,2026-02-09 15:03:21.836758,0.0005,-0.0003,100,483.116,599.873,1870.4049546785097,1533.0357771884364,14.579,23.629,517.341667352681,2388.472,9138.687,1.201,43.248,423.141,2157.041,9626.25,6.923,0.03,397.982,2328.356,108.744,37.743,25.653,115,Night,0,0,25,,,,
CTL-04,Balancing,26,2026-02-09 19:03:21.836774,0.0,0.0003,100,547.151,555.707,1769.7833389577888,1357.8769641430567,12.001,22.628,538.805661998756,2777.044,10037.305,1.183,51.975,485.351,1992.376,7638.418,7.3,0.03,467.677,2406.795,104.614,34.917,22.155,115,Day,0,0,26,,,,
CTL-04,Balancing,27,2026-02-09 23:03:21.836790,-0.0087,-0.0003,60,546.951,638.272,1471.1105247487271,1543.1331427275218,14.825,26.051,590.9825752881591,2117.134,9150.824,1.143,56.988,470.074,2654.172,8915.255,7.845,0.031,402.028,2586.855,101.77,36.217,24.733,114,Day,0,0,27,,,,
CTL-04,Balancing,28,2026-02-10 03:03:21.836805,0.0218,0.0,80,547.932,582.84,1220.84873990803,1483.3600508252302,15.166,22.543,626.6572589804413,2597.321,10216.205,1.402,48.153,457.517,2756.152,7968.037,7.909,0.032,320.042,2211.523,93.708,36.257,27.952,114,Evening,0,0,28,,,,
CTL-04,Balancing,29,2026-02-10 07:03:21.836821,0.0005,0.0003,60,514.4,601.62,1575.9752875080762,1521.962030698934,11.833,21.857,529.5096388499261,2452.474,8009.646,1.277,46.822,455.38,2833.321,8476.269,9.195,0.029,400.417,2101.01,93.599,35.322,24.114,114,Evening,0,0,29,,,,
CTL-04,Balancing,30,2026-02-10 11:03:21.836838,0.0005,0.0,100,607.205,700.743,1871.9312258912746,1509.4621855407638,15.234,19.617,572.5829435818686,2274.868,9798.895,1.123,46.957,522.57,2814.741,7305.918,9.403,0.032,381.973,2485.828,97.502,38.867,25.184,114,Night,0,0,30,,,,
CTL-04,Balancing,31,2026-02-10 15:03:21.836854,0.0005,0.0,80,650.653,704.645,1620.4148643850936,1606.0557045112098,12.543,20.736,558.2404236901832,2140.082,8556.768,1.085,41.4,508.879,2163.473,8481.068,8.645,0.031,372.226,2646.469,105.008,39.681,23.965,114,Night,0,0,31,,,,
CTL-04,Balancing,32,2026-02-10 19:03:21.836870,-0.0087,0.0003,100,507.906,727.42,1764.9891625254427,1351.014073042133,14.861,20.753,692.1745041910738,2327.151,10127.483,1.648,48.975,430.792,2748.758,7722.113,7.841,0.035,340.977,2730.595,97.762,31.619,25.49,113,Day,0,0,32,,,,
CTL-04,Balancing,33,2026-02-10 23:03:21.836885,0.0005,-0.0003,80,401.883,639.733,1323.666624093762,1355.8410498841777,15.639,22.523,566.2246128124494,2629.119,9046.165,1.272,48.824,487.148,2594.15,8196.094,9.022,0.029,411.56,2546.815,79.806,33.139,22.112,113,Day,0,0,33,,,,
CTL-04,Balancing,34,2026-02-11 03:03:21.836901,-0.0087,0.0,60,511.866,724.644,1659.2834540358297,1477.0248526404034,16.874,24.584,499.6416167707526,2682.55,9141.039,1.233,46.077,489.03,2421.813,8071.084,9.46,0.036,376.117,2078.573,106.678,42.465,24.311,113,Evening,0,0,34,,,,
CTL-04,Balancing,35,2026-02-11 07:03:21.836917,0.0218,0.0,100,438.861,591.763,1608.7928659815543,1318.0368971755092,13.161,26.244,499.6574579250372,2676.234,9419.527,1.379,52.872,485.723,2316.509,8523.235,6.863,0.035,396.546,2163.064,110.938,39.166,21.73,113,Evening,0,0,35,,,,
CTL-04,Balancing,36,2026-02-11 11:03:21.836932,0.0005,0.0,60,567.727,493.224,1651.993189731854,1582.391420272522,13.402,18.84,578.6291186267575,2226.483,11079.865,1.231,46.547,548.861,1953.866,8187.183,9.362,0.03,347.001,2284.315,80.852,37.681,26.02,112,Night,0,0,36,,,,
CTL-04,Balancing,37,2026-02-11 15:03:21.836948,0.0218,0.0,80,486.287,687.615,1348.2805271556347,1664.787798462527,16.274,20.546,481.975469982257,2266.752,9301.284,1.441,37.453,584.546,2449.442,7191.735,6.273,0.03,400.62,2240.824,109.121,46.704,22.484,112,Night,0,0,37,,,,
CTL-04,Balancing,38,2026-02-11 19:03:21.836966,0.0,0.0,60,479.943,753.016,1549.7514495058315,1498.1198115023772,13.732,24.074,486.08523613645804,2422.746,9313.924,1.276,44.449,615.191,2581.265,7434.495,6.833,0.034,355.697,2402.758,100.919,39.92,19.466,112,Day,0,0,38,,,,
CTL-04,Balancing,39,2026-02-11 23:03:21.836980,0.0,-0.0003,100,500.563,641.667,1577.1004930559666,1504.8000946717711,14.861,22.572,521.5074660190292,2795.769,8784.457,1.343,48.012,545.188,2674.788,7454.248,9.115,0.032,398.796,2442.154,88.444,37.492,18.953,112,Day,0,0,39,,,,
CTL-04,Balancing,40,2026-02-12 03:03:21.836994,-0.0087,0.0003,60,502.791,638.614,1362.0317769241356,1442.4838658772328,16.385,22.076,554.8303546785922,2262.627,9382.336,1.168,36.021,604.061,2617.53,7243.983,7.202,0.03,394.525,2582.908,96.65,43.292,22.913,112,Evening,0,0,40,,,,
CTL-04,Balancing,41,2026-02-12 07:03:21.837008,0.0,-0.0003,60,581.585,631.019,1447.4555930903389,1353.1543034426936,15.576,22.375,558.3057632647065,2138.83,8991.925,1.215,44.248,573.581,2205.087,7468.672,8.684,0.027,370.275,2847.821,98.327,41.433,29.311,111,Evening,0,0,41,,,,
CTL-04,Balancing,42,2026-02-12 11:03:21.837022,0.0218,0.0003,80,529.017,676.404,1636.193380087226,1359.1760221184975,14.804,21.224,504.7183563476457,2587.052,7409.36,1.301,46.144,467.607,2536.84,7307.048,8.076,0.032,316.529,2645.309,99.636,37.61,20.19,111,Night,0,0,42,,,,
CTL-04,Balancing,43,2026-02-12 15:03:21.837036,0.0005,0.0,60,523.36,644.276,1669.9807702433116,1335.8415706524302,13.194,22.288,522.1999813383883,2508.576,8113.401,1.403,54.543,512.972,2710.205,8751.832,8.703,0.03,370.665,2674.026,109.959,34.753,23.689,111,Night,0,0,43,,,,
CTL-04,Balancing,44,2026-02-12 19:03:21.837050,0.0218,-0.0003,80,476.455,673.213,1703.025361900403,1184.2345705954372,14.498,22.527,560.4288578226312,2814.042,7623.269,1.476,43.276,409.856,2464.574,8036.437,8.497,0.032,413.546,2261.244,108.118,30.983,23.199,111,Day,0,0,44,,,,
CTL-04,Balancing,45,2026-02-12 23:03:21.837064,0.0005,-0.0003,60,577.245,661.041,1591.8403371651937,1351.9400612863235,15.128,21.004,590.1537940946837,2264.078,10426.321,1.371,56.076,501.426,2680.498,7108.816,9.027,0.03,396.669,2562.167,107.433,42.064,24.244,110,Day,0,0,45,,,,
